npi,primary_specialty,taxonomy_code,license_state,license_issuance_year
1103693705,Internal Medicine,207R00000X,AL,2017
1786197347,Obstetrics & Gynecology,207V00000X,AZ,1995
1881968741,Pediatrics,208000000X,NC,2003
1854472887,Surgery,208600000X,HI,2001
1463081277,Internal Medicine,207R00000X,CT,2000
1209074768,Pediatrics,208000000X,CT,2011
1026354542,Obstetrics & Gynecology,207V00000X,NC,2012
1221115714,Surgery,208600000X,NY,2011
1952112104,Family Medicine,207Q00000X,NC,2011
1561848544,Emergency Medicine,207P00000X,NY,2018
1948406016,Psychiatry & Neurology,2084A0401X,TX,1992
1176725442,Emergency Medicine,207P00000X,NY,2019
1667922615,Ophthalmology,207W00000X,ND,2002
1452277464,Family Medicine,207Q00000X,CA,1987
1694569801,Otolaryngology,207Y00000X,MN,2009
1521669543,Internal Medicine,207R00000X,NY,2012
1320985991,Internal Medicine,207R00000X,CA,2005
1746915648,Obstetrics & Gynecology,207V00000X,FL,1992
1683629855,Internal Medicine,207R00000X,PA,2003
1945965410,Psychiatry & Neurology,2084A0401X,NY,2003
1725946192,Pediatrics,208000000X,WI,2009
1550994184,Anesthesiology,207L00000X,FL,1998
1289253951,Psychiatry & Neurology,2084A0401X,MD,2007
1749582254,Pathology,207ZB0001X,OK,2001
1535543163,Medical Genetics,207SC0300X,NC,1997
1077836892,Emergency Medicine,207P00000X,FL,2012
1588454748,Psychiatry & Neurology,2084A0401X,CA,2007
1936688831,Obstetrics & Gynecology,207V00000X,TX,2006
1800699740,Family Medicine,207Q00000X,MD,2012
1469072312,Internal Medicine,207R00000X,AZ,2014
1108629142,Emergency Medicine,207P00000X,NJ,2012
1896143561,Family Medicine,207Q00000X,FL,1988
1134255920,Pediatrics,208000000X,FL,2014
1567064922,Allergy & Immunology,207K00000X,MA,2001
1666768696,Orthopaedic Surgery,207X00000X,WA,2003
1570271159,Obstetrics & Gynecology,207V00000X,NY,2006
1828487318,Neurological Surgery,207T00000X,MI,2015
1879983702,Plastic Surgery,208200000X,TX,2017
1658912088,Emergency Medicine,207P00000X,GA,2010
1089341931,Emergency Medicine,207P00000X,AR,2000
1146794718,Psychiatry & Neurology,2084A0401X,CA,2015
1490349804,Pediatrics,208000000X,CA,2007
1331184667,Obstetrics & Gynecology,207V00000X,NJ,2018
1215072285,Anesthesiology,207L00000X,CA,2012
1081121604,Family Medicine,207Q00000X,TX,2015
1310757475,Internal Medicine,207R00000X,MN,2000
1907854909,Emergency Medicine,207P00000X,CA,2007
1490060260,Psychiatry & Neurology,2084A0401X,IL,2010
1546078670,Emergency Medicine,207P00000X,NY,2019
1234404634,Surgery,208600000X,FL,2006
1800785556,Internal Medicine,207R00000X,AR,1993
1678796354,Family Medicine,207Q00000X,TX,2003
1183758899,Family Medicine,207Q00000X,MA,2000
1098217338,Orthopaedic Surgery,207X00000X,WA,2010
1416072431,Internal Medicine,207R00000X,OK,2008
1500166263,Pediatrics,208000000X,MO,2012
1714264607,Psychiatry & Neurology,2084A0401X,OH,2001
1321230710,Pediatrics,208000000X,WA,1988
1880800986,Pediatrics,208000000X,MD,2007
1410386894,Emergency Medicine,207P00000X,VA,2011
1553333158,Internal Medicine,207R00000X,KY,2000
1378821163,Internal Medicine,207R00000X,MI,2015
1747749566,Radiology,2085B0100X,MA,1998
1104320530,Anesthesiology,207L00000X,OK,2009
1088654573,Psychiatry & Neurology,2084A0401X,CA,2013
1634101830,Pathology,207ZB0001X,GA,2013
1244513242,Surgery,208600000X,NC,1998
1600627693,Pediatrics,208000000X,WA,2012
1139635936,Pathology,207ZB0001X,PA,2009
1687656433,Pediatrics,208000000X,SC,2013
1942108170,Pediatrics,208000000X,TX,1999
1371318787,Orthopaedic Surgery,207X00000X,CT,1991
1624274530,Internal Medicine,207R00000X,OH,2005
1399423593,Orthopaedic Surgery,207X00000X,GA,2013
1268518820,Orthopaedic Surgery,207X00000X,SC,1997
1149243002,Radiology,2085B0100X,NY,2015
1309867129,Psychiatry & Neurology,2084A0401X,FL,2019
1740028570,Orthopaedic Surgery,207X00000X,IN,1997
1304741956,Emergency Medicine,207P00000X,CA,2002
1146246099,Internal Medicine,207R00000X,MI,2000
1953469206,Internal Medicine,207R00000X,MI,2007
1677305819,Radiology,2085B0100X,PA,2011
1680742016,Radiology,2085B0100X,GA,2011
1952713786,Internal Medicine,207R00000X,KS,2007
1878394497,Pediatrics,208000000X,TX,2004
1068530637,Emergency Medicine,207P00000X,SC,2011
1308392996,Anesthesiology,207L00000X,OH,2011
1869167001,Internal Medicine,207R00000X,AZ,2004
1566937557,Radiology,2085B0100X,PA,2004
1174352249,Pediatrics,208000000X,MA,2001
1418484063,Preventive Medicine,2083A0100X,NY,2015
1058879671,Ophthalmology,207W00000X,NY,2003
1170538569,Emergency Medicine,207P00000X,TX,1999
1757809649,Internal Medicine,207R00000X,NY,2020
1761949019,Obstetrics & Gynecology,207V00000X,PA,2014
1739882656,Internal Medicine,207R00000X,TX,2003
1519167682,Internal Medicine,207R00000X,NY,2008
1065674644,Emergency Medicine,207P00000X,LA,1991
1486200441,Anesthesiology,207L00000X,NY,2017
1778913537,Family Medicine,207Q00000X,WA,2002
1023628138,Psychiatry & Neurology,2084A0401X,FL,2001
1454309596,Anesthesiology,207L00000X,NY,2012
1486458486,Family Medicine,207Q00000X,PA,1992
1451505725,Surgery,208600000X,CO,2004
1937397150,Thoracic Surgery (Cardiothoracic Vascular Surgery),208G00000X,TN,1996
1344653617,Psychiatry & Neurology,2084A0401X,CA,1997
1385728369,Thoracic Surgery (Cardiothoracic Vascular Surgery),208G00000X,WI,2002
1760497754,Allergy & Immunology,207K00000X,VA,2012
1668160918,Surgery,208600000X,VA,1998
1647987019,Internal Medicine,207R00000X,NY,1997
1531933772,Family Medicine,207Q00000X,NY,2010
1125292221,Obstetrics & Gynecology,207V00000X,IN,2009
1972163988,Surgery,208600000X,NY,2003
1273424253,Physical Medicine & Rehabilitation,208100000X,SC,2002
1652656046,Urology,208800000X,IN,1997
1059498414,Surgery,208600000X,CA,2012
1905579912,Plastic Surgery,208200000X,NY,2010
1934999800,Pathology,207ZB0001X,TX,2015
1295498418,Emergency Medicine,207P00000X,CA,2018
1217757180,Internal Medicine,207R00000X,TX,2006
1061132225,Dermatology,207N00000X,LA,2007
1706601345,Surgery,208600000X,ID,2002
1319262113,Psychiatry & Neurology,2084A0401X,UT,2011
1545622783,Surgery,208600000X,WA,2005
1050555139,Internal Medicine,207R00000X,GA,2011
1505845408,Emergency Medicine,207P00000X,CA,1999
1387503091,Psychiatry & Neurology,2084A0401X,SC,2011
1047796499,Urology,208800000X,CA,2016
1366563157,Pediatrics,208000000X,OK,2015
1002655821,Emergency Medicine,207P00000X,MO,2000
1718478021,Pediatrics,208000000X,NY,2016
1707422808,Internal Medicine,207R00000X,CA,2009
1735633160,Psychiatry & Neurology,2084A0401X,NY,2013
1989644996,Family Medicine,207Q00000X,NY,1993
1413748371,Obstetrics & Gynecology,207V00000X,MN,2003
1951226988,Orthopaedic Surgery,207X00000X,AR,2008
1266817752,Internal Medicine,207R00000X,MO,1999
1909919429,Psychiatry & Neurology,2084A0401X,OK,2003
1573532540,Anesthesiology,207L00000X,TX,2015
1893452122,Internal Medicine,207R00000X,RI,2006
1133846620,Urology,208800000X,VA,2005
1417174954,Orthopaedic Surgery,207X00000X,HI,2010
1896748278,Obstetrics & Gynecology,207V00000X,CA,1991
1666440502,Internal Medicine,207R00000X,NC,2004
1086891011,Emergency Medicine,207P00000X,NY,2018
1233459266,Family Medicine,207Q00000X,MI,2013
1703500144,Ophthalmology,207W00000X,MA,2014
1805028846,Psychiatry & Neurology,2084A0401X,MN,2008
1850939574,Internal Medicine,207R00000X,CA,2016
1128383712,Surgery,208600000X,IL,1994
1904837931,Thoracic Surgery (Cardiothoracic Vascular Surgery),208G00000X,MO,2007
1943946602,Radiology,2085B0100X,CA,2001
1017673108,Anesthesiology,207L00000X,SC,2011
1114540309,Family Medicine,207Q00000X,PA,2001
1230999512,Anesthesiology,207L00000X,NY,2004
1404440228,Pediatrics,208000000X,TX,2002
1139368330,Anesthesiology,207L00000X,VA,1999
1139239929,Orthopaedic Surgery,207X00000X,OR,2018
1238315554,Obstetrics & Gynecology,207V00000X,NC,2008
1474268749,Obstetrics & Gynecology,207V00000X,NJ,2017
1677094454,Psychiatry & Neurology,2084A0401X,AZ,2000
1738560766,Otolaryngology,207Y00000X,IN,2008
1963794023,Pediatrics,208000000X,MA,1992
1543755304,Emergency Medicine,207P00000X,MI,2008
1191342447,Internal Medicine,207R00000X,OH,2017
1381866197,Psychiatry & Neurology,2084A0401X,IN,2003
1592416402,Family Medicine,207Q00000X,TX,1998
1372780183,Anesthesiology,207L00000X,TX,2009
1285656538,Family Medicine,207Q00000X,NY,2006
1726011319,Ophthalmology,207W00000X,WA,2013
1131666954,Obstetrics & Gynecology,207V00000X,MI,2005
1403018959,Psychiatry & Neurology,2084A0401X,TX,2002
1840072254,Psychiatry & Neurology,2084A0401X,IN,2005
1751178389,Internal Medicine,207R00000X,GA,2011
1918729439,Internal Medicine,207R00000X,MD,2008
1728537618,Orthopaedic Surgery,207X00000X,OH,2019
1032537221,Internal Medicine,207R00000X,TX,1999
1097998185,Ophthalmology,207W00000X,DE,2010
1764524462,Family Medicine,207Q00000X,MD,2013
1293930776,Pathology,207ZB0001X,CA,2007
1305242285,Surgery,208600000X,GA,2010
1436007417,Pediatrics,208000000X,VA,2008
1926161922,Ophthalmology,207W00000X,OH,1986
1913362673,Obstetrics & Gynecology,207V00000X,FL,2004
1260689413,Internal Medicine,207R00000X,GA,1996
1138177195,Internal Medicine,207R00000X,IL,2011
1647614688,Internal Medicine,207R00000X,MI,1988
1539312052,Internal Medicine,207R00000X,CA,2012
1686355722,Anesthesiology,207L00000X,WA,2012
1414559991,Internal Medicine,207R00000X,IA,2017
1367970021,Internal Medicine,207R00000X,OR,2008
1565470568,Internal Medicine,207R00000X,CA,2012
1285368605,Family Medicine,207Q00000X,NY,2007
1004463778,Obstetrics & Gynecology,207V00000X,MO,2014
1195771179,Internal Medicine,207R00000X,MD,2011
1082075049,Family Medicine,207Q00000X,UT,2012
1321572509,Pediatrics,208000000X,NC,2008
1319859744,Ophthalmology,207W00000X,FL,2006
1203591890,Family Medicine,207Q00000X,OH,2011
1283502536,Physical Medicine & Rehabilitation,208100000X,CA,2006
1471972046,Anesthesiology,207L00000X,GA,2009
1890687159,Family Medicine,207Q00000X,PA,2013
1970985739,Family Medicine,207Q00000X,NC,1993
1180549226,Neurological Surgery,207T00000X,CA,1995
1732027515,Family Medicine,207Q00000X,SC,2011
1592321164,Internal Medicine,207R00000X,GA,2005
1830235622,Orthopaedic Surgery,207X00000X,IN,1992
1472481088,Thoracic Surgery (Cardiothoracic Vascular Surgery),208G00000X,CA,2005
1366528002,Allergy & Immunology,207K00000X,TX,2013
1983041587,Dermatology,207N00000X,OH,1996
1121280626,Pediatrics,208000000X,CA,2010
1021185685,Family Medicine,207Q00000X,OH,2008
1354953139,Radiology,2085B0100X,SD,2012
1095799163,Family Medicine,207Q00000X,IA,2012
1092873888,Family Medicine,207Q00000X,AL,2015
1690795517,Family Medicine,207Q00000X,VA,2013
1340225097,Thoracic Surgery (Cardiothoracic Vascular Surgery),208G00000X,CT,2007
1983059787,Family Medicine,207Q00000X,TX,2011
1931311975,Ophthalmology,207W00000X,WV,2004
1969725138,Plastic Surgery,208200000X,MA,1998
1993990690,Obstetrics & Gynecology,207V00000X,TX,2011
1917291803,Plastic Surgery,208200000X,FL,2008
1422021034,Surgery,208600000X,AZ,2015
1435148667,Surgery,208600000X,NH,2014
1239013752,Internal Medicine,207R00000X,CA,2014
1640918110,Dermatology,207N00000X,CA,2009
1772220582,Family Medicine,207Q00000X,TX,2011
1266101207,Internal Medicine,207R00000X,PA,2005
1460518347,Ophthalmology,207W00000X,NY,2005
1207603592,Family Medicine,207Q00000X,GA,2000
1845848401,Anesthesiology,207L00000X,NJ,2013
1986617193,Dermatology,207N00000X,MD,2007
1494968294,Neurological Surgery,207T00000X,AL,1996
1332487655,Dermatology,207N00000X,CA,2004
1579951256,Pediatrics,208000000X,OH,1997
1460216603,Pediatrics,208000000X,OH,2004
1798083246,Pathology,207ZB0001X,NY,2000
1194824615,Obstetrics & Gynecology,207V00000X,CA,2014
1788513517,Family Medicine,207Q00000X,LA,2011
1188249720,Ophthalmology,207W00000X,CT,1991
1103518530,Orthopaedic Surgery,207X00000X,NC,2010
1623159864,Internal Medicine,207R00000X,UT,2012
1077096604,Obstetrics & Gynecology,207V00000X,FL,2005
1964332468,Family Medicine,207Q00000X,SC,2002
1568366219,Orthopaedic Surgery,207X00000X,IL,1995
1827821780,Internal Medicine,207R00000X,SD,2010
1667692432,Orthopaedic Surgery,207X00000X,SC,2009
1172579652,Internal Medicine,207R00000X,MD,2008
1101287161,Ophthalmology,207W00000X,KY,2014
1737322846,Pediatrics,208000000X,CA,2003
1085832081,Ophthalmology,207W00000X,VA,2016
1594377461,Internal Medicine,207R00000X,TX,2005
1271747069,Family Medicine,207Q00000X,AZ,1988
1301303818,Anesthesiology,207L00000X,IL,2017
1631351826,Obstetrics & Gynecology,207V00000X,AZ,2001
1389393194,Family Medicine,207Q00000X,MO,2009
1717513604,Otolaryngology,207Y00000X,IL,2000
1096606433,Pathology,207ZB0001X,FL,2008
1663662611,Emergency Medicine,207P00000X,GA,1997
1111112524,Orthopaedic Surgery,207X00000X,CA,2011
1429306982,Surgery,208600000X,NY,1991
1571229248,Obstetrics & Gynecology,207V00000X,TX,1995
1283707085,Internal Medicine,207R00000X,TX,1991
1468081496,Obstetrics & Gynecology,207V00000X,TX,2004
1767160918,Family Medicine,207Q00000X,IL,2014
1613306897,Pediatrics,208000000X,VA,2013
1402376754,Internal Medicine,207R00000X,AR,1996
1357062367,Emergency Medicine,207P00000X,MT,2010
1906188804,Pediatrics,208000000X,KY,2008
1026424840,Psychiatry & Neurology,2084A0401X,FL,2017
1461450060,Ophthalmology,207W00000X,GA,1996
1269302455,Anesthesiology,207L00000X,NY,2007
1717238921,Anesthesiology,207L00000X,GA,2010
1117716195,Emergency Medicine,207P00000X,MD,1992
1714985748,Pediatrics,208000000X,GA,2012
1450984590,Obstetrics & Gynecology,207V00000X,ID,1997
1136853995,Family Medicine,207Q00000X,VA,2011
1941477279,Radiology,2085B0100X,NY,2017
1626236966,Ophthalmology,207W00000X,MD,2016
1313456471,Physical Medicine & Rehabilitation,208100000X,NC,2011
1850161716,Orthopaedic Surgery,207X00000X,NY,2014
1627081874,Family Medicine,207Q00000X,FL,2013
1277269399,Ophthalmology,207W00000X,WI,2008
1026788970,Allergy & Immunology,207K00000X,NY,2008
1679216113,Obstetrics & Gynecology,207V00000X,WI,2008
1515237117,Emergency Medicine,207P00000X,IL,2005
1664537325,Family Medicine,207Q00000X,CA,2016
1450223320,Family Medicine,207Q00000X,CA,2007
1890649662,Surgery,208600000X,MI,2019
1993529837,Plastic Surgery,208200000X,IN,2003
1815919505,Orthopaedic Surgery,207X00000X,OH,1992
1841579760,Internal Medicine,207R00000X,TN,2012
1430075527,Urology,208800000X,WI,1997
1406566756,Family Medicine,207Q00000X,IL,2009
1173074364,Obstetrics & Gynecology,207V00000X,CA,2016
1375916974,Psychiatry & Neurology,2084A0401X,MI,1997
1551055936,Surgery,208600000X,IL,2017
1465128118,Surgery,208600000X,IA,2003
1994520074,Orthopaedic Surgery,207X00000X,OR,2014
1616934638,Psychiatry & Neurology,2084A0401X,NY,1996
1340227481,Anesthesiology,207L00000X,NJ,2004
1433516881,Internal Medicine,207R00000X,MO,2014
1800050548,Internal Medicine,207R00000X,MI,2001
1594732772,Anesthesiology,207L00000X,NV,2008
1356886154,Family Medicine,207Q00000X,GA,2007
1697432403,Psychiatry & Neurology,2084A0401X,TX,2016
1934409370,Pediatrics,208000000X,CA,1999
1251636852,Emergency Medicine,207P00000X,LA,2013
1384465112,Pediatrics,208000000X,NV,2007
1137128744,Internal Medicine,207R00000X,MA,1999
1800516050,Psychiatry & Neurology,2084A0401X,FL,1998
1955076207,Internal Medicine,207R00000X,FL,1998
1186781625,Psychiatry & Neurology,2084A0401X,AK,2014
1523128548,Surgery,208600000X,PA,2006
1607514167,Internal Medicine,207R00000X,CA,2006
1653052872,Orthopaedic Surgery,207X00000X,IA,2012
1760142822,Pediatrics,208000000X,VA,2011
1775106630,Pathology,207ZB0001X,IL,1999
1284326745,Pediatrics,208000000X,TX,2010
1523377863,Radiology,2085B0100X,NC,2004
1124356712,Surgery,208600000X,GA,2011
1194020032,Plastic Surgery,208200000X,CA,1995
1759864261,Colon & Rectal Surgery,208C00000X,WA,2007
1552102018,Orthopaedic Surgery,207X00000X,NY,1991
1355700281,Preventive Medicine,2083A0100X,MN,2003
1261952414,Dermatology,207N00000X,PA,2017
1898856954,Internal Medicine,207R00000X,NY,2016
1445010691,Radiology,2085B0100X,CO,2017
1950820682,Obstetrics & Gynecology,207V00000X,FL,2002
1382969412,Internal Medicine,207R00000X,MS,2006
1226119661,Surgery,208600000X,OK,1999
1046498840,Anesthesiology,207L00000X,CO,2008
1250745530,Colon & Rectal Surgery,208C00000X,AR,2001
1646025365,Obstetrics & Gynecology,207V00000X,TX,2018
1463427389,Family Medicine,207Q00000X,NJ,2000
1520224316,Family Medicine,207Q00000X,TX,1996
1149857736,Plastic Surgery,208200000X,TX,2013
1608464339,Emergency Medicine,207P00000X,NJ,2005
1018915615,Emergency Medicine,207P00000X,MS,2001
1478326113,Radiology,2085B0100X,PA,2010
1580123226,Orthopaedic Surgery,207X00000X,PA,2009
1835941075,Obstetrics & Gynecology,207V00000X,FL,2006
1011085036,Obstetrics & Gynecology,207V00000X,KS,2011
1168322612,Radiology,2085B0100X,CA,2001
1834952495,Orthopaedic Surgery,207X00000X,CA,2010
1665563353,Obstetrics & Gynecology,207V00000X,TX,2009
1230883401,Orthopaedic Surgery,207X00000X,OH,2004
1042203459,Otolaryngology,207Y00000X,NM,2006
1332427982,Pediatrics,208000000X,TX,2011
1848126623,Obstetrics & Gynecology,207V00000X,NY,2012
1051127722,Anesthesiology,207L00000X,TX,1990
1379473899,Internal Medicine,207R00000X,NC,2003
1418881722,Internal Medicine,207R00000X,MN,1994
1047594639,Radiology,2085B0100X,OH,2011
1952618829,Family Medicine,207Q00000X,AZ,1992
1121700748,Internal Medicine,207R00000X,AZ,2003
1106996063,Anesthesiology,207L00000X,PA,1995
1297784161,Obstetrics & Gynecology,207V00000X,MN,1996
1442611376,Pediatrics,208000000X,TX,2015
1501223063,Family Medicine,207Q00000X,LA,2015
1872765353,Pediatrics,208000000X,TX,1990
1361508181,Psychiatry & Neurology,2084A0401X,NJ,2009
1586572368,Family Medicine,207Q00000X,NC,1995
1480805948,Internal Medicine,207R00000X,MS,1999
1200399073,Pediatrics,208000000X,MD,2013
1261741635,Emergency Medicine,207P00000X,TX,2007
1114319431,Psychiatry & Neurology,2084A0401X,TN,2014
1374765273,Family Medicine,207Q00000X,ND,2003
1437955937,Otolaryngology,207Y00000X,FL,2017
1086255910,Family Medicine,207Q00000X,FL,2014
1352803971,Internal Medicine,207R00000X,PA,1997
1865953750,Surgery,208600000X,SC,1998
1384882662,Internal Medicine,207R00000X,CA,2012
1305152070,Internal Medicine,207R00000X,MN,2004
1522310501,Pediatrics,208000000X,OH,2009
1711546162,Pediatrics,208000000X,CA,2007
1739064339,Surgery,208600000X,FL,1994
1969410814,Anesthesiology,207L00000X,CA,2002
1109988067,Pediatrics,208000000X,CO,2014
1252524719,Internal Medicine,207R00000X,GA,1990
1601276060,Obstetrics & Gynecology,207V00000X,CA,2009
1868086236,Internal Medicine,207R00000X,IL,2001
1851549026,Allergy & Immunology,207K00000X,CA,2002
1133629588,Emergency Medicine,207P00000X,PA,2004
1805218603,Anesthesiology,207L00000X,CT,2015
1622199358,Pediatrics,208000000X,WV,2009
1883751996,Family Medicine,207Q00000X,TX,2008
1359138777,Internal Medicine,207R00000X,KS,2015
1498927114,Pathology,207ZB0001X,OH,2005
1522636459,Radiology,2085B0100X,WA,2001
1841107026,Anesthesiology,207L00000X,MD,2004
1709984342,Pediatrics,208000000X,WI,2019
1733675585,Family Medicine,207Q00000X,IL,1992
1809537552,Radiology,2085B0100X,MI,2006
1338446051,Anesthesiology,207L00000X,CA,2002
1717961449,Internal Medicine,207R00000X,LA,2006
1242697716,Family Medicine,207Q00000X,VA,2011
1537593372,Internal Medicine,207R00000X,GA,2004
1181743745,Dermatology,207N00000X,NJ,2010
1262485083,Anesthesiology,207L00000X,CA,1996
1406256580,Family Medicine,207Q00000X,VA,2006
1086829045,Internal Medicine,207R00000X,TX,2010
1657145904,Family Medicine,207Q00000X,TN,2009
1045216250,Family Medicine,207Q00000X,PA,2004
1176946998,Emergency Medicine,207P00000X,IN,2009
1593155645,Family Medicine,207Q00000X,WA,2002
1900618798,Family Medicine,207Q00000X,WA,2011
1602273538,Pediatrics,208000000X,PA,2008
1760133698,Internal Medicine,207R00000X,IN,2003
1685374781,Radiology,2085B0100X,MA,2006
1526783927,Family Medicine,207Q00000X,MO,2002
1853587735,Internal Medicine,207R00000X,RI,2009
1249231774,Internal Medicine,207R00000X,OH,2007
1451975712,Dermatology,207N00000X,OH,1990
1617475094,Ophthalmology,207W00000X,LA,2016
1405635388,Obstetrics & Gynecology,207V00000X,WA,1994
1341120651,Family Medicine,207Q00000X,TX,2001
1172206348,Family Medicine,207Q00000X,PA,2003
1104155860,Internal Medicine,207R00000X,GA,2010
1765974187,Anesthesiology,207L00000X,NY,2013
1674228691,Otolaryngology,207Y00000X,GA,2006
1784043410,Pediatrics,208000000X,IN,2010
1187367549,Radiology,2085B0100X,WA,1996
1933857470,Pediatrics,208000000X,AZ,2008
1095454587,Emergency Medicine,207P00000X,FL,2010
1187346089,Family Medicine,207Q00000X,ID,1993
1011535162,Pathology,207ZB0001X,IA,2010
1394930097,Family Medicine,207Q00000X,VA,2015
1350783886,Pediatrics,208000000X,TX,2002
1333564130,Family Medicine,207Q00000X,MD,2004
1961007444,Otolaryngology,207Y00000X,KY,1997
1447641550,Thoracic Surgery (Cardiothoracic Vascular Surgery),208G00000X,CA,2010
1658254531,Psychiatry & Neurology,2084A0401X,PA,1999
1146179977,Allergy & Immunology,207K00000X,NJ,2011
1047906734,Psychiatry & Neurology,2084A0401X,CA,2015
1454749726,Internal Medicine,207R00000X,PA,2012
1750410981,Internal Medicine,207R00000X,AR,2012
1582128017,Anesthesiology,207L00000X,NY,1994
1482747833,Family Medicine,207Q00000X,VA,1997
1149724621,Internal Medicine,207R00000X,TX,2016
1711337752,Surgery,208600000X,PA,2010
1180946968,Pediatrics,208000000X,MD,2006
1949832061,Internal Medicine,207R00000X,AR,2010
1751361563,Pediatrics,208000000X,CO,2012
1142210099,Orthopaedic Surgery,207X00000X,CA,1995
1671816852,Obstetrics & Gynecology,207V00000X,LA,2017
1249692496,Plastic Surgery,208200000X,IA,2011
1073309241,Radiology,2085B0100X,NY,1998
1141726970,Psychiatry & Neurology,2084A0401X,MS,2009
1248169629,Internal Medicine,207R00000X,CA,2008
1594487757,Obstetrics & Gynecology,207V00000X,IA,2008
1459364695,Internal Medicine,207R00000X,ID,2013
1047610310,Internal Medicine,207R00000X,MI,2017
1306711759,Obstetrics & Gynecology,207V00000X,IA,2009
1358490070,Psychiatry & Neurology,2084A0401X,CA,2008
1646815906,Internal Medicine,207R00000X,CA,2013
1907110377,Internal Medicine,207R00000X,MA,2006
1814728485,Psychiatry & Neurology,2084A0401X,TX,2009
1951877533,Allergy & Immunology,207K00000X,TN,2003
1654900863,Internal Medicine,207R00000X,TX,2005
1010684870,Radiology,2085B0100X,CA,2007
1549601494,Obstetrics & Gynecology,207V00000X,TX,2010
1021503754,Anesthesiology,207L00000X,MN,2003
1217694169,Family Medicine,207Q00000X,CO,2010
1438707915,Internal Medicine,207R00000X,MA,2002
1875316378,Radiology,2085B0100X,NC,1996
1832448199,Family Medicine,207Q00000X,CA,2011
1769216015,Psychiatry & Neurology,2084A0401X,IL,1997
1386766194,Ophthalmology,207W00000X,GA,1998
1495827721,Ophthalmology,207W00000X,CA,2014
1515090474,Family Medicine,207Q00000X,VA,2015
1784250791,Internal Medicine,207R00000X,MI,2006
1043787047,Internal Medicine,207R00000X,NY,2010
1734680832,Radiology,2085B0100X,OK,2005
1957708708,Internal Medicine,207R00000X,OH,2001
1136315078,Urology,208800000X,TN,2015
1149592721,Family Medicine,207Q00000X,RI,2000
1203451764,Pediatrics,208000000X,FL,2010
1798908400,Emergency Medicine,207P00000X,NY,2009
1126485626,Dermatology,207N00000X,NY,2017
1346208295,Neurological Surgery,207T00000X,NJ,1996
1635684313,Obstetrics & Gynecology,207V00000X,OH,2003
1497034193,Radiology,2085B0100X,TX,2001
1866120318,Surgery,208600000X,NY,2018
1033351390,Family Medicine,207Q00000X,TX,2008
1430793749,Pediatrics,208000000X,NC,1997
1515946790,Family Medicine,207Q00000X,NM,2018
1484006527,Internal Medicine,207R00000X,NJ,2002
1546051362,Urology,208800000X,NY,1990
1183323983,Urology,208800000X,NV,2004
1982894812,Internal Medicine,207R00000X,MO,2006
1489097042,Anesthesiology,207L00000X,CA,1999
